videos	changes
1-S-A.mp4	77
1-S-A.webm	42
1-S-B.mp4	16
1-S-C.mp4	0
1-W-A.mp4	24
1-W-B.mp4	32
1-W-B.webm	30
10-W-B.mp4	35
2-W-A.mp4	22
2-W-A.webm	26
3-S-A.mp4	91
3-S-A.webm	15
3-W-A.mp4	40
4-W-B	12
4-W-C	80
6-1-S-A.webm	42
6-1-W-A.mp4	23
6-1-W-B.mp4	76
6-1-W-C.mp4	24
6-2-S-A.mp4	44
6-2-W-A.mp4	56
6-2-W-A.webm	52
6-2-W-B.mp4	20
6-3-S-B	96
6-3-S-A.mp4	20
6-3-W-A.mp4	55
6-4-S-A	68
6-3-W-B.mp4	33
6-4-W-A	56
6-4-S-B.mp4	56
6-5-S-A.mp4	2
6-6-S-A.mp4	77
6-6-W-A	100
6-7-S-A.mp4	25
6-7-W-B.mp4	14
7-W-A	31
8-S-B	80
8-S-A.webm	60
8-W-A.mp4	81
8-W-A.webm	39
8-W-B.mp4	73
9-S-A.mp4	72
9-S-B.mp4	75
10-W-A	62
10-W-B	78
