ratio	avgsession	
0,6 SKIPPED	1094.66666666667	
0,7 FULL	1746.5
0,8 SKIPPED	1979
0,9 SKIPPED	528.8333333
1 SKIPPED	864
1 WENT AWAY	51
1,1 SKIPPED	49
1,1 WENT AWAY	19
1,2 FULL	2935
1,2 WENT AWAY	7
1,3 FULL	1571
1,3 SKIPPED	27
1,3 WENT AWAY	35.5
1,4 FULL	1311.44444444444
1,4 SKIPPED	577.275
1,4 WENT AWAY	8
1,5 FULL	428.5
1,5 SKIPPED	549.152380957143
1,5 WENT AWAY	71
1,6 FULL	46
1,6 SKIPPED	709.6375
1,6 WENT AWAY	15
1,7 FULL	486.16666668
1,7 SKIPPED	459.333333333333
1,8 FULL	652.166666663636
1,8 SKIPPED	195.848484848636
1,8 WENT AWAY	39.4285714285714
1,9 FULL	1248.16666666667
1,9 SKIPPED	687.40833333
1,9 WENT AWAY	393
2 FULL	1580.0625
2 SKIPPED	632.327731094118
2 WENT AWAY	7.75
2,1 FULL	896.7291666625
2,1 SKIPPED	784.388888888889
2,1 WENT AWAY	62
2,2 FULL	630.666666666667
2,2 SKIPPED	679.392857142857
2,2 WENT AWAY	143
2,3 SKIPPED	48
2,4 SKIPPED	508
2,9 SKIPPED	40
4 SKIPPED	13.5
4,1 FULL	1591
4,1 SKIPPED	49
4,5 SKIPPED	544
